document,sentiment,avg_confidence
My_Take_|_Chinese_start-up_DeepSeek_looks_set_to_r.txt,NEGATIVE,0.951
DeepSeek_hit_with_‘large-scale’_cyber-attack_after.txt,NEGATIVE,0.992
Experts_urge_caution_over_use_of_Chinese_AI_DeepSe.txt,NEGATIVE,0.971
DeepSeek:_South_Korea_temporarily_bans_AI_app_–_DW.txt,NEGATIVE,0.966
Tech_war:_China_poised_to_expand_AI_infrastructure.txt,NEGATIVE,0.843
DeepSeek_Is_a_Win_for_China_in_the_A.I._Race._Will.txt,POSITIVE,0.934
"DeepSeek’s_Answers_Include_Chinese_Propaganda,_Res.txt",NEGATIVE,0.939
"DeepSeek's_popularity_should_be_a_wake-up_call,_Tr.txt",NEGATIVE,0.911
Why_is_China's_DeepSeek_sending_AI_stocks_spinning.txt,NEGATIVE,0.964
Nvidia_shares_sink_as_Chinese_AI_app_DeepSeek_spoo.txt,NEGATIVE,0.989
DeepSeek_Serves_as_a_Warning_About_Big_Tech_-_The_.txt,NEGATIVE,0.972
What_DeepSeek?_Big_Tech_Keeps_Its_A.I._Building_Bo.txt,NEGATIVE,0.988
"The_real_hype_behind_DeepSeek,_according_to_AI_exp.txt",NEGATIVE,0.91
China_Challenges_Silicon_Valley_for_A.I._Dominance.txt,NEGATIVE,0.943
What_does_DeepSeek_mean_for_AI's_environmental_imp.txt,NEGATIVE,0.99
Who_Is_the_Founder_of_the_A.I._Start-Up_DeepSeek?.txt,NEGATIVE,0.957
and_why_is_everyone_talking_about_it?.txt,NEGATIVE,0.964
Watch_DeepSeek_AI_bot_respond_to_question_about_Ch.txt,NEGATIVE,0.982
DeepSeek_shows_China_only_6_months_behind_US_in_st.txt,NEGATIVE,0.986
DeepSeek_shows_AI's_centre_of_power_could_shift_aw.txt,NEGATIVE,0.951
China’s_DeepSeek_causes_rout_among_AI-linked_stock.txt,NEGATIVE,0.891
Is_Artificial_Intelligence_Really_Worth_the_Hype?.txt,NEGATIVE,0.988
What_to_Know_About_DeepSeek_and_How_It_Is_Upending.txt,POSITIVE,0.963
South_Korea_removes_DeepSeek_from_app_stores_pendi.txt,NEGATIVE,0.998
What_DeepSeek’s_Success_Says_About_China’s_Ability.txt,POSITIVE,0.973
"DeepSeek_transferred_data_without_consent,_South_K.txt",NEGATIVE,0.985
"We_tried_out_DeepSeek._It_worked_well,_until_we_as.txt",NEGATIVE,0.926
US_tech_stocks_plunge_on_China_AI’s_unexpectedly_s.txt,NEGATIVE,0.993
US_tech_stocks_partly_recover_after_Trump_says_Dee.txt,NEGATIVE,0.939
Diving_into_DeepSeek:_inside_the_7_February_Guardi.txt,NEGATIVE,0.992
Hong_Kong_stocks_gain_on_valuation_focus_as_DeepSe.txt,NEGATIVE,0.981
Nvidia_and_Microsoft_shares_steady_after_DeepSeek_.txt,NEGATIVE,0.964
"Be_careful_with_DeepSeek,_Australia_says_-_so_is_i.txt",NEGATIVE,0.994
